time elapsed,date,time,magnitude,x,y,z,field control set point,input state
4.7,05/22/2025,14:54:53.418000,6.34909378e-05,-2.65548231e-05,-2.44724759e-05,-5.22210539e-05,9.91e+37,0
4.8,05/22/2025,14:54:53.518000,6.30116779e-05,-2.58638761e-05,-2.51800028e-05,-5.16478356e-05,9.91e+37,0
4.9,05/22/2025,14:54:53.618000,6.22108257e-05,-2.64684749e-05,-2.50417155e-05,-5.04233989e-05,9.91e+37,0
5.0,05/22/2025,14:54:53.718000,6.29523527e-05,-2.791446e-05,-2.41337597e-05,-5.10033654e-05,9.91e+37,0
5.1,05/22/2025,14:54:53.818000,6.20780407e-05,-2.76920795e-05,-2.2572079e-05,-5.07674415e-05,9.91e+37,0
5.2,05/22/2025,14:54:53.918000,6.15121779e-05,-2.75196608e-05,-2.11646181e-05,-5.07786889e-05,9.91e+37,0
5.3,05/22/2025,14:54:54.018000,6.10553471e-05,-2.78068265e-05,-1.99436514e-05,-5.05646772e-05,9.91e+37,0
5.4,05/22/2025,14:54:54.118000,6.07566552e-05,-2.79510891e-05,-1.86285949e-05,-5.06269022e-05,9.91e+37,0
5.5,05/22/2025,14:54:54.218000,6.02254196e-05,-2.79368346e-05,-1.73233566e-05,-5.04632118e-05,9.91e+37,0
5.6,05/22/2025,14:54:54.318000,5.98193127e-05,-2.79456378e-05,-1.60299225e-05,-5.0402709e-05,9.91e+37,0
5.7,05/22/2025,14:54:54.418000,5.94703646e-05,-2.79185907e-05,-1.47035361e-05,-5.04091518e-05,9.91e+37,0
5.8,05/22/2025,14:54:54.518000,5.94028754e-05,-2.83893683e-05,-1.37944861e-05,-5.03235286e-05,9.91e+37,0
5.9,05/22/2025,14:54:54.618000,5.82426884e-05,-2.79583266e-05,-1.39460656e-05,-4.91533313e-05,9.91e+37,0
6.0,05/22/2025,14:54:54.718000,5.78474245e-05,-2.74336215e-05,-1.50477002e-05,-4.86547804e-05,9.91e+37,0
6.1,05/22/2025,14:54:54.818000,5.85204817e-05,-2.77261859e-05,-1.62242889e-05,-4.89150064e-05,9.91e+37,0
6.2,05/22/2025,14:54:54.918000,5.94396538e-05,-2.82912299e-05,-1.78011688e-05,-4.91507594e-05,9.91e+37,0
6.3,05/22/2025,14:54:55.018000,5.98138698e-05,-2.82218594e-05,-1.90561956e-05,-4.91740488e-05,9.91e+37,0
6.4,05/22/2025,14:54:55.118000,6.02922942e-05,-2.81688049e-05,-2.05002433e-05,-4.9207918e-05,9.91e+37,0
6.5,05/22/2025,14:54:55.218000,6.07243047e-05,-2.80739455e-05,-2.15874493e-05,-4.93282555e-05,9.91e+37,0
6.6,05/22/2025,14:54:55.318000,6.08771143e-05,-2.77278432e-05,-2.29301595e-05,-4.91059828e-05,9.91e+37,0
6.7,05/22/2025,14:54:55.418000,6.13128695e-05,-2.737067e-05,-2.41877241e-05,-4.92449834e-05,9.91e+37,0
6.8,05/22/2025,14:54:55.518000,6.1487789e-05,-2.70208654e-05,-2.52889379e-05,-4.91028578e-05,9.91e+37,0
6.9,05/22/2025,14:54:55.618000,6.11527162e-05,-2.75642838e-05,-2.56779099e-05,-4.81716711e-05,9.91e+37,0
7.0,05/22/2025,14:54:55.718000,5.97828926e-05,-2.68395079e-05,-2.45794644e-05,-4.7428736e-05,9.91e+37,0
7.1,05/22/2025,14:54:55.818000,6.00439234e-05,-2.79201813e-05,-2.34307301e-05,-4.77151664e-05,9.91e+37,0
7.2,05/22/2025,14:54:55.918000,5.94062366e-05,-2.78199984e-05,-2.20317631e-05,-4.76418939e-05,9.91e+37,0
7.3,05/22/2025,14:54:56.018000,5.91508516e-05,-2.82202821e-05,-2.08310008e-05,-4.76288602e-05,9.91e+37,0
7.4,05/22/2025,14:54:56.118000,5.84787813e-05,-2.80147486e-05,-1.94942505e-05,-4.7485955e-05,9.91e+37,0
7.5,05/22/2025,14:54:56.218000,5.82039521e-05,-2.84607899e-05,-1.81416465e-05,-4.74190272e-05,9.91e+37,0
7.6,05/22/2025,14:54:56.318000,5.78652426e-05,-2.8340286e-05,-1.69157105e-05,-4.75297089e-05,9.91e+37,0
7.7,05/22/2025,14:54:56.418000,5.72279834e-05,-2.81879244e-05,-1.55496431e-05,-4.73148138e-05,9.91e+37,0
7.8,05/22/2025,14:54:56.518000,5.69051683e-05,-2.80335253e-05,-1.42398604e-05,-4.74293792e-05,9.91e+37,0
7.9,05/22/2025,14:54:56.618000,5.61866495e-05,-2.83053534e-05,-1.38935502e-05,-4.65050084e-05,9.91e+37,0
8.0,05/22/2025,14:54:56.718000,5.62698985e-05,-2.8887416e-05,-1.4555681e-05,-4.60429238e-05,9.91e+37,0
8.1,05/22/2025,14:54:56.818000,5.69306135e-05,-2.91483004e-05,-1.60026712e-05,-4.62102354e-05,9.91e+37,0
8.2,05/22/2025,14:54:56.918000,5.74908338e-05,-2.927549e-05,-1.73935753e-05,-4.63206778e-05,9.91e+37,0
8.3,05/22/2025,14:54:57.018000,5.8029818e-05,-2.95000698e-05,-1.88208049e-05,-4.62923639e-05,9.91e+37,0
8.4,05/22/2025,14:54:57.118000,5.84540955e-05,-2.93774129e-05,-2.00783045e-05,-4.63757542e-05,9.91e+37,0
8.5,05/22/2025,14:54:57.218000,5.88090544e-05,-2.92669235e-05,-2.1318547e-05,-4.63408203e-05,9.91e+37,0
8.6,05/22/2025,14:54:57.318000,5.90540032e-05,-2.90141323e-05,-2.25433636e-05,-4.62315063e-05,9.91e+37,0
8.7,05/22/2025,14:54:57.418000,5.93638831e-05,-2.85417238e-05,-2.39317239e-05,-4.62245953e-05,9.91e+37,0
8.8,05/22/2025,14:54:57.518000,5.9621964e-05,-2.81273969e-05,-2.51163002e-05,-4.61822433e-05,9.91e+37,0
8.9,05/22/2025,14:54:57.618000,5.91811909e-05,-2.77063225e-05,-2.60821914e-05,-4.53265081e-05,9.91e+37,0
9.0,05/22/2025,14:54:57.718000,5.85660571e-05,-2.80845474e-05,-2.55538451e-05,-4.45897101e-05,9.91e+37,0
9.1,05/22/2025,14:54:57.818000,5.83323513e-05,-2.8544195e-05,-2.43380919e-05,-4.46715729e-05,9.91e+37,0
9.2,05/22/2025,14:54:57.918000,5.76261831e-05,-2.86098717e-05,-2.28955665e-05,-4.44752207e-05,9.91e+37,0
9.3,05/22/2025,14:54:58.018000,5.75947723e-05,-2.92180097e-05,-2.16457595e-05,-4.46646034e-05,9.91e+37,0
9.4,05/22/2025,14:54:58.118000,5.71955052e-05,-2.94384307e-05,-2.03314795e-05,-4.46243829e-05,9.91e+37,0
9.5,05/22/2025,14:54:58.218000,5.67795833e-05,-2.93792769e-05,-1.9080693e-05,-4.468452e-05,9.91e+37,0
9.6,05/22/2025,14:54:58.318000,5.64619511e-05,-2.9546683e-05,-1.77348486e-05,-4.47260616e-05,9.91e+37,0
9.7,05/22/2025,14:54:58.418000,5.60062106e-05,-2.94776133e-05,-1.65414789e-05,-4.46558553e-05,9.91e+37,0
9.8,05/22/2025,14:54:58.518000,5.52821058e-05,-2.91945086e-05,-1.51684892e-05,-4.44264429e-05,9.91e+37,0
9.9,05/22/2025,14:54:58.618000,5.48609638e-05,-2.89490363e-05,-1.39731559e-05,-4.4457053e-05,9.91e+37,0
10.0,05/22/2025,14:54:58.718000,5.43448521e-05,-2.81601073e-05,-1.40950505e-05,-4.42910923e-05,9.91e+37,0
10.1,05/22/2025,14:54:58.818000,5.49692261e-05,-2.86066521e-05,-1.54011076e-05,-4.43405138e-05,9.91e+37,0
10.2,05/22/2025,14:54:58.918000,5.54877435e-05,-2.86697069e-05,-1.67707948e-05,-4.44485999e-05,9.91e+37,0
10.3,05/22/2025,14:54:59.018000,5.59714477e-05,-2.87608158e-05,-1.80619776e-05,-4.44902618e-05,9.91e+37,0
10.4,05/22/2025,14:54:59.118000,5.63570968e-05,-2.86666598e-05,-1.92855785e-05,-4.45242792e-05,9.91e+37,0
10.5,05/22/2025,14:54:59.218000,5.67675696e-05,-2.84953524e-05,-2.05098387e-05,-4.46085011e-05,9.91e+37,0
10.6,05/22/2025,14:54:59.318000,5.70912416e-05,-2.82533813e-05,-2.19698821e-05,-4.44801145e-05,9.91e+37,0
10.7,05/22/2025,14:54:59.418000,5.74170142e-05,-2.79332769e-05,-2.3202737e-05,-4.4475595e-05,9.91e+37,0
10.8,05/22/2025,14:54:59.518000,5.76790173e-05,-2.74063237e-05,-2.44489187e-05,-4.44748561e-05,9.91e+37,0
10.9,05/22/2025,14:54:59.618000,5.79012532e-05,-2.70696719e-05,-2.54898254e-05,-4.43853217e-05,9.91e+37,0
